game_id,team_id,TEAM_NAME,TEAM_ABBREVIATION,WL,HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE,is_team1
0022300816,1610612738,Boston Celtics,BOS,1,0,9,-1,0.11699999999999994,2,-3,0.08699999999999997,-6,-4,-0.18799999999999994,-4,1,-3,6,7,1,-6,1,28.0,0.17800000000000005,6.5,-1.2999999999999972,7.7,1.4000000000000021,-0.04799999999999999,-0.0030000000000000027,-0.014000000000000012,-0.015000000000000013,1.6000000000000085,0
0022300797,1610612738,Boston Celtics,BOS,1,0,1,-11,0.07400000000000001,13,19,0.132,2,5,-0.11299999999999999,-8,-1,-9,-3,4,9,0,-1,34.0,0.30800000000000005,8.099999999999994,-3.9000000000000057,12.0,0.9000000000000021,0.0020000000000000018,0.0030000000000000027,0.018000000000000016,-0.0030000000000000027,1.0,0
0022300780,1610612738,Boston Celtics,BOS,1,1,21,10,0.18799999999999994,12,14,0.16599999999999998,-4,-3,-0.10000000000000009,4,16,20,5,1,4,-3,1,100.0,0.389,9.299999999999997,-3.9000000000000057,13.100000000000001,0.20000000000000284,-0.0030000000000000027,0.0020000000000000018,0.019000000000000017,-0.010000000000000009,0.20000000000000284,0
0022300771,1610612738,Boston Celtics,BOS,1,0,4,4,0.02400000000000002,0,4,-0.04999999999999999,0,-3,0.08499999999999996,0,2,2,3,0,-2,1,3,16.0,0.389,9.299999999999997,-3.9000000000000057,13.100000000000001,0.20000000000000284,-0.0030000000000000027,0.0020000000000000018,0.019000000000000017,-0.010000000000000009,0.20000000000000284,0
0022300759,1610612738,Boston Celtics,BOS,1,0,1,-16,0.09400000000000003,4,-1,0.10999999999999999,-2,2,-0.2270000000000001,-8,5,-3,6,-3,7,2,-1,8.0,0.23299999999999998,8.899999999999991,-0.6000000000000085,9.4,0.0,0.031,-0.017000000000000015,0.02200000000000002,-0.008000000000000007,1.2000000000000028,0
0022300743,1610612738,Boston Celtics,BOS,1,1,3,-3,0.04800000000000004,-9,-13,-0.10199999999999998,7,7,0.02400000000000002,4,6,10,-7,1,4,1,-8,8.0,0.5920000000000001,12.200000000000003,-7.5,19.6,-0.3999999999999986,0.04500000000000001,0.040000000000000036,0.06,-0.015000000000000013,-5.099999999999994,0
0022300729,1610612738,Boston Celtics,BOS,1,1,6,-9,0.10500000000000004,4,8,0.02999999999999997,-8,-9,0.009000000000000008,-7,3,-4,9,-2,7,5,3,16.0,0.315,5.200000000000003,-7.299999999999997,12.4,0.8000000000000007,-0.029000000000000026,0.017000000000000015,0.014000000000000012,-0.009000000000000008,-3.0,0
0022300706,1610612738,Boston Celtics,BOS,1,1,13,7,0.10499999999999998,8,13,0.08400000000000002,6,6,0.05600000000000005,1,10,11,11,7,1,-10,-2,80.0,0.452,15.899999999999991,-2.5,18.3,1.1000000000000014,0.01899999999999999,0.015000000000000013,0.03700000000000003,-0.03,-1.2000000000000028,0
0022300684,1610612738,Boston Celtics,BOS,0,1,3,3,0.01899999999999996,-3,12,-0.195,-12,-19,0.269,-1,3,2,0,-7,10,8,11,-18.0,0.22699999999999998,7.0,-3.700000000000003,10.6,-1.0,0.05299999999999999,0.0030000000000000027,0.02400000000000002,-0.013000000000000012,-3.299999999999997,0
0022300670,1610612738,Boston Celtics,BOS,1,1,-3,-21,0.07700000000000001,5,-3,0.16399999999999998,6,7,0.017999999999999905,-12,2,-10,-8,2,7,3,-5,10.0,0.22099999999999997,2.8999999999999915,-6.299999999999997,9.200000000000001,-1.7999999999999972,0.014999999999999986,0.02100000000000002,0.030000000000000027,-0.0050000000000000044,-4.599999999999994,0
0022300659,1610612738,Boston Celtics,BOS,1,1,-3,-6,0.0010000000000000009,7,11,0.08400000000000002,5,7,-0.019000000000000017,-3,3,0,6,0,-1,-1,1,12.0,0.16500000000000004,5.099999999999994,-0.20000000000000284,5.2,-0.29999999999999716,0.0010000000000000009,-0.006000000000000005,0.0040000000000000036,-0.01100000000000001,-0.7000000000000028,0
